2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,612 [INFO] Probing node bootstrap-0 broker version
2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,714 [INFO] Broker version identified as 2.6.0
2026-05-20 11:51:17,714 [INFO] Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-05-20 11:51:17,722 [INFO] 🚀 Iniciando generador | eps=30 | sesiones=10 | anomaly_ratio=0.08 | topic=ecommerce-events
2026-05-20 11:51:17,723 [INFO] Presiona Ctrl+C para detener.

2026-05-20 11:51:17,728 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connected> [IPv6 ('::1', 9094, 0, 0)]>: Closing connection. 
2026-05-20 12:27:29,731 [INFO] Enviados: 65000 eventos | Anomalías: 5047 (7.8%)
2026-05-20 12:28:03,145 [INFO] Enviados: 66000 eventos | Anomalías: 5193 (7.9%)
2026-05-20 12:28:36,564 [INFO] Enviados: 67000 eventos | Anomalías: 5254 (7.8%)
2026-05-20 12:29:09,981 [INFO] Enviados: 68000 eventos | Anomalías: 5328 (7.8%)
2026-05-20 12:29:43,391 [INFO] Enviados: 69000 eventos | Anomalías: 5373 (7.8%)
2026-05-20 12:30:16,801 [INFO] Enviados: 70000 eventos | Anomalías: 5415 (7.7%)
2026-05-20 12:30:50,213 [INFO] Enviados: 71000 eventos | Anomalías: 5472 (7.7%)
2026-05-20 12:31:23,624 [INFO] Enviados: 72000 eventos | Anomalías: 5559 (7.7%)
2026-05-20 12:31:57,035 [INFO] Enviados: 73000 eventos | Anomalías: 5671 (7.8%)
2026-05-20 12:32:30,452 [INFO] Enviados: 74000 eventos | Anomalías: 5738 (7.8%)
2026-05-20 12:33:03,862 [INFO] Enviados: 75000 eventos | Anomalías: 5823 (7.8%)
2026-05-20 12:33:37,272 [INFO] Enviados: 76000 eventos | Anomalías: 5898 (7.8%)
2026-05-20 12:34:10,682 [INFO] Enviados: 77000 eventos | Anomalías: 5933 (7.7%)
2026-05-20 12:34:44,092 [INFO] Enviados: 78000 eventos | Anomalías: 6015 (7.7%)
2026-05-20 12:35:17,503 [INFO] Enviados: 79000 eventos | Anomalías: 6080 (7.7%)
2026-05-20 12:35:50,912 [INFO] Enviados: 80000 eventos | Anomalías: 6189 (7.7%)
2026-05-20 12:36:24,322 [INFO] Enviados: 81000 eventos | Anomalías: 6353 (7.8%)
2026-05-20 12:36:57,733 [INFO] Enviados: 82000 eventos | Anomalías: 6487 (7.9%)
2026-05-20 12:37:31,145 [INFO] Enviados: 83000 eventos | Anomalías: 6602 (8.0%)
2026-05-20 12:38:04,554 [INFO] Enviados: 84000 eventos | Anomalías: 6667 (7.9%)
2026-05-20 12:38:37,966 [INFO] Enviados: 85000 eventos | Anomalías: 6724 (7.9%)
2026-05-20 12:39:11,375 [INFO] Enviados: 86000 eventos | Anomalías: 6867 (8.0%)
2026-05-20 12:39:44,786 [INFO] Enviados: 87000 eventos | Anomalías: 6940 (8.0%)
2026-05-20 12:40:18,197 [INFO] Enviados: 88000 eventos | Anomalías: 6995 (7.9%)
2026-05-20 12:40:51,610 [INFO] Enviados: 89000 eventos | Anomalías: 7068 (7.9%)
